order_id,product_id,quantity,unit_price
O00047,P022,2,91.87
O00047,P018,4,185.3
O00190,P017,1,25.95
O00190,P025,1,182.6
O00190,P003,3,41.26
O00190,P004,1,82.66
O00227,P014,3,22.69
O00363,P013,2,20.56
O00363,P016,2,119.11
O00363,P017,3,25.21
O00488,P013,3,19.51
O00488,P010,4,27.16
O00488,P001,2,122.05
O00488,P008,2,249.28
O00094,P006,4,47.64
O00094,P013,1,19.02
O00094,P024,4,294.49
O00094,P025,2,189.95
O00147,P020,4,33.09
O00167,P022,1,96.84
O00041,P012,4,28.14
O00243,P025,2,196.69
O00243,P022,2,96.29
O00243,P015,3,52.3
O00243,P023,2,144.04
O00290,P019,1,17.44
O00290,P002,2,91.77
O00133,P010,2,24.73
O00133,P011,4,37.6
O00133,P017,2,27.1
O00163,P019,2,17.68
O00163,P011,3,33.91
O00163,P023,4,151.18
O00093,P011,4,32.44
O00093,P010,4,22.89
O00476,P004,3,74.83
O00476,P021,4,181.58
O00476,P012,4,30.79
O00476,P016,4,127.52
O00027,P009,1,63.11
O00027,P001,2,121.92
O00027,P023,1,140.51
O00074,P015,3,48.75
O00449,P023,4,140.86
O00449,P016,1,109.59
O00449,P025,4,192.69
O00449,P007,1,13.09
O00202,P002,2,91.96
O00289,P005,3,98.42
O00289,P021,1,184.08
O00321,P012,4,28.43
O00321,P017,1,25.88
O00321,P005,3,96.95
O00491,P010,2,23.15
O00491,P002,3,91.83
O00491,P018,2,188.53
O00491,P020,3,29.76
O00050,P018,4,211.99
O00050,P002,3,96.21
O00050,P006,1,47.1
O00050,P023,3,152.43
O00115,P019,3,18.79
O00115,P018,4,211.21
O00206,P017,2,25.31
O00206,P002,4,91.05
O00084,P024,4,313.09
O00084,P015,3,52.33
O00084,P016,2,123.41
O00084,P011,1,35.95
O00090,P013,1,21.12
O00090,P012,3,28.55
O00090,P020,2,30.23
O00090,P019,1,20.29
O00256,P015,4,51.56
O00102,P005,4,86.66
O00102,P025,3,173.53
O00102,P001,3,123.15
O00102,P011,4,36.14
O00276,P009,4,58.18
O00276,P018,1,180.87
O00276,P004,1,75.6
O00276,P011,2,32.11
O00302,P008,4,245.58
O00302,P003,1,41.98
O00382,P020,1,31.68
O00382,P001,2,136.51
O00382,P002,1,90.53
O00382,P009,1,55.12
O00426,P014,3,23.65
O00426,P002,3,108.29
O00426,P015,4,50.19
O00425,P023,2,136.59
O00425,P009,4,55.4
O00425,P015,3,50.04
O00425,P010,4,27.43
O00186,P019,2,19.79
O00495,P024,2,313.88
O00495,P006,1,44.42
O00495,P007,4,12.13
O00495,P019,1,20.15
O00045,P005,2,87.48
O00045,P013,1,18.12
O00261,P019,3,20.8
O00328,P021,1,181.82
O00328,P023,1,141.31
O00113,P010,3,23.83
O00113,P023,2,159.6
O00113,P015,3,51.58
O00113,P018,4,213.24
O00117,P010,2,25.45
O00117,P011,1,35.97
O00117,P015,3,50.11
O00376,P015,2,54.7
O00376,P014,1,22.87
O00376,P011,3,32.86
O00376,P021,3,196.91
O00389,P023,1,158.44
O00389,P009,1,61.39
O00389,P016,4,120.75
O00389,P015,3,50.06
O00071,P017,4,26.61
O00176,P011,1,38.08
O00176,P006,3,46.31
O00176,P010,2,24.3
O00176,P012,3,30.58
O00085,P010,3,24.21
O00085,P004,3,85.06
O00105,P025,4,175.17
O00105,P005,4,87.73
O00351,P009,4,56.0
O00351,P017,2,24.93
O00351,P013,4,21.9
O00351,P024,3,326.75
O00158,P008,1,255.33
O00158,P012,2,29.33
O00158,P023,1,163.03
O00158,P001,2,131.07
O00419,P024,1,306.55
O00013,P014,1,22.8
O00013,P010,2,23.14
O00013,P009,3,60.58
O00053,P002,2,104.5
O00126,P002,3,102.52
O00226,P005,3,81.79
O00226,P006,4,48.01
O00226,P021,1,181.85
O00161,P015,1,46.0
O00484,P004,1,85.47
O00484,P005,1,92.52
O00194,P011,4,33.39
O00216,P003,1,36.65
O00216,P004,4,73.62
O00216,P005,1,83.33
O00282,P009,3,54.04
O00325,P008,3,250.01
O00325,P022,1,98.52
O00325,P006,4,42.38
O00107,P014,2,22.51
O00107,P024,4,308.07
O00270,P020,2,30.95
O00270,P016,2,125.01
O00159,P005,2,94.85
O00159,P009,2,58.4
O00131,P019,3,18.24
O00250,P021,2,212.82
O00250,P014,3,23.35
O00250,P010,3,27.4
O00275,P007,2,12.29
O00275,P016,2,120.7
O00275,P003,3,38.82
O00275,P014,2,23.82
O00019,P009,4,65.52
O00052,P010,4,23.73
O00052,P014,1,22.8
O00052,P023,1,138.95
O00052,P017,4,26.32
O00060,P017,3,26.97
O00189,P008,1,253.19
O00307,P022,3,97.56
O00307,P014,4,24.18
