order_id,customer_id,order_date,status
O00047,C0016,2025-01-01,Shipped
O00190,C0035,2025-01-01,Completed
O00227,C0023,2025-01-01,Completed
O00363,C0087,2025-01-01,Completed
O00488,C0082,2025-01-02,Completed
O00094,C0063,2025-01-03,Processing
O00147,C0069,2025-01-04,Completed
O00167,C0024,2025-01-04,Completed
O00041,C0057,2025-01-05,Shipped
O00243,C0019,2025-01-05,Cancelled
O00290,C0066,2025-01-05,Shipped
O00133,C0062,2025-01-06,Completed
O00163,C0092,2025-01-06,Completed
O00093,C0017,2025-01-07,Cancelled
O00476,C0079,2025-01-07,Processing
O00027,C0009,2025-01-08,Completed
O00074,C0060,2025-01-08,Completed
O00449,C0051,2025-01-08,Shipped
O00202,C0058,2025-01-10,Completed
O00289,C0027,2025-01-10,Completed
O00321,C0020,2025-01-11,Completed
O00491,C0091,2025-01-11,Shipped
O00050,C0087,2025-01-12,Completed
O00115,C0064,2025-01-13,Completed
O00206,C0089,2025-01-13,Completed
O00084,C0047,2025-01-14,Shipped
O00090,C0013,2025-01-14,Shipped
O00256,C0025,2025-01-14,Completed
O00102,C0023,2025-01-15,Completed
O00276,C0018,2025-01-15,Shipped
O00302,C0045,2025-01-15,Shipped
O00382,C0028,2025-01-17,Completed
O00426,C0099,2025-01-18,Processing
O00425,C0098,2025-01-19,Completed
O00186,C0012,2025-01-20,Completed
O00495,C0052,2025-01-20,Completed
O00045,C0065,2025-01-22,Completed
O00261,C0023,2025-01-23,Shipped
O00328,C0077,2025-01-23,Completed
O00113,C0016,2025-01-25,Completed
O00117,C0069,2025-01-25,Completed
O00376,C0036,2025-01-25,Completed
O00389,C0017,2025-01-25,Completed
O00071,C0070,2025-01-26,Shipped
O00176,C0012,2025-01-26,Shipped
O00085,C0099,2025-01-28,Completed
O00105,C0001,2025-01-28,Completed
O00351,C0020,2025-01-29,Shipped
O00158,C0004,2025-01-31,Completed
O00419,C0086,2025-02-01,Completed
O00013,C0058,2025-02-03,Shipped
O00053,C0098,2025-02-03,Completed
O00126,C0057,2025-02-03,Completed
O00226,C0013,2025-02-04,Completed
O00161,C0080,2025-02-05,Completed
O00484,C0098,2025-02-05,Cancelled
O00194,C0008,2025-02-07,Cancelled
O00216,C0036,2025-02-07,Completed
O00282,C0007,2025-02-07,Completed
O00325,C0039,2025-02-07,Completed
O00107,C0001,2025-02-08,Completed
O00270,C0095,2025-02-08,Shipped
O00159,C0016,2025-02-09,Processing
O00131,C0047,2025-02-11,Processing
O00250,C0052,2025-02-11,Completed
